Sensor,Time Point,value
DC21410602,2022-01-17 23:00:00,2.72
DC21410602,2022-01-18 00:00:00,2.71
DC21410602,2022-01-18 01:00:00,2.43
DC21410602,2022-01-18 02:00:00,2.52
DC21410602,2022-01-18 03:00:00,2.19
DC21410602,2022-01-18 04:00:00,1.51
DC21410602,2022-01-18 05:00:00,0.29
DC21410602,2022-01-18 06:00:00,0.0
DC21410602,2022-01-18 07:00:00,0.0
DC21410602,2022-01-18 08:00:00,0.0
DC21410602,2022-01-18 09:00:00,0.0
DC21410602,2022-01-18 10:00:00,0.0
DC21410602,2022-01-18 11:00:00,0.0
DC21410602,2022-01-18 12:00:00,0.13
DC21410602,2022-01-18 13:00:00,0.31
DC21410602,2022-01-18 14:00:00,0.5
DC21410602,2022-01-18 15:00:00,0.52
DC21410602,2022-01-18 16:00:00,0.34
DC21410602,2022-01-18 17:00:00,0.5
DC21410602,2022-01-18 18:00:00,0.34
DC21410602,2022-01-18 19:00:00,0.54
DC21410602,2022-01-18 20:00:00,1.0
DC21410602,2022-01-18 21:00:00,1.75
DC21410602,2022-01-18 22:00:00,3.16
DC21410602,2022-01-18 23:00:00,4.13
DC21410602,2022-01-19 00:00:00,4.7
DC21410602,2022-01-19 01:00:00,5.3
DC21410602,2022-01-19 02:00:00,4.92
DC21410602,2022-01-19 03:00:00,4.73
DC21410602,2022-01-19 04:00:00,4.3
DC21410602,2022-01-19 05:00:00,2.72
DC21410602,2022-01-19 06:00:00,2.43
DC21410602,2022-01-19 07:00:00,1.6
DC21410602,2022-01-19 08:00:00,1.3
DC21410602,2022-01-19 09:00:00,1.19
DC21410602,2022-01-19 10:00:00,1.16
DC21410602,2022-01-19 11:00:00,0.83
DC21410602,2022-01-19 12:00:00,0.97
DC21410602,2022-01-19 13:00:00,0.88
DC21410602,2022-01-19 14:00:00,0.62
DC21410602,2022-01-19 15:00:00,0.64
DC21410602,2022-01-19 16:00:00,0.86
DC21410602,2022-01-19 17:00:00,1.06
DC21410602,2022-01-19 18:00:00,1.36
DC21410602,2022-01-19 19:00:00,1.38
DC21410602,2022-01-19 20:00:00,1.65
DC21410602,2022-01-19 21:00:00,2.0
DC21410602,2022-01-19 22:00:00,2.54
DC21410602,2022-01-19 23:00:00,2.94
DC21410602,2022-01-20 00:00:00,3.42
DC21410602,2022-01-20 01:00:00,3.85
DC21410602,2022-01-20 02:00:00,4.07
DC21410602,2022-01-20 03:00:00,4.63
DC21410602,2022-01-20 04:00:00,4.48
DC21410602,2022-01-20 05:00:00,3.18
DC21410602,2022-01-20 06:00:00,4.05
DC21410602,2022-01-20 07:00:00,2.32
DC21410602,2022-01-20 08:00:00,0.72
DC21410602,2022-01-20 09:00:00,0.22
DC21410602,2022-01-20 10:00:00,0.12
DC21410602,2022-01-20 11:00:00,0.39
DC21410602,2022-01-20 12:00:00,0.74
DC21410602,2022-01-20 13:00:00,0.84
DC21410602,2022-01-20 14:00:00,0.6
DC21410602,2022-01-20 15:00:00,0.12
DC21410602,2022-01-20 16:00:00,0.01
DC21410602,2022-01-20 17:00:00,0.0
