Sensor,Time Point,value
DC21410602,2022-01-22 19:00:00,421.86
DC21410602,2022-01-22 20:00:00,424.06
DC21410602,2022-01-22 21:00:00,424.89
DC21410602,2022-01-22 22:00:00,426.15
DC21410602,2022-01-22 23:00:00,427.02
DC21410602,2022-01-23 00:00:00,425.57
DC21410602,2022-01-23 01:00:00,424.21
DC21410602,2022-01-23 02:00:00,424.28
DC21410602,2022-01-23 03:00:00,425.92
DC21410602,2022-01-23 04:00:00,428.85
DC21410602,2022-01-23 05:00:00,429.53
DC21410602,2022-01-23 06:00:00,431.61
DC21410602,2022-01-23 07:00:00,432.35
DC21410602,2022-01-23 08:00:00,434.5
DC21410602,2022-01-23 09:00:00,440.13
DC21410602,2022-01-23 10:00:00,438.2
DC21410602,2022-01-23 11:00:00,438.68
DC21410602,2022-01-23 12:00:00,433.93
DC21410602,2022-01-23 13:00:00,426.63
DC21410602,2022-01-23 14:00:00,423.57
DC21410602,2022-01-23 15:00:00,421.01
DC21410602,2022-01-23 16:00:00,419.31
DC21410602,2022-01-23 17:00:00,418.29
DC21410602,2022-01-23 18:00:00,417.91
DC21410602,2022-01-23 19:00:00,417.49
DC21410602,2022-01-23 20:00:00,417.72
DC21410602,2022-01-23 21:00:00,419.16
DC21410602,2022-01-23 22:00:00,425.09
DC21410602,2022-01-23 23:00:00,436.29
DC21410602,2022-01-24 00:00:00,443.69
DC21410602,2022-01-24 01:00:00,438.41
DC21410602,2022-01-24 02:00:00,432.68
DC21410602,2022-01-24 03:00:00,428.58
DC21410602,2022-01-24 04:00:00,426.38
DC21410602,2022-01-24 05:00:00,424.46
DC21410602,2022-01-24 06:00:00,425.26
DC21410602,2022-01-24 07:00:00,429.96
DC21410602,2022-01-24 08:00:00,434.98
DC21410602,2022-01-24 09:00:00,442.27
DC21410602,2022-01-24 10:00:00,445.12
DC21410602,2022-01-24 11:00:00,446.0
DC21410602,2022-01-24 12:00:00,448.08
DC21410602,2022-01-24 13:00:00,448.52
DC21410602,2022-01-24 14:00:00,447.43
DC21410602,2022-01-24 15:00:00,449.64
DC21410602,2022-01-24 16:00:00,448.62
DC21410602,2022-01-24 17:00:00,443.93
DC21410602,2022-01-24 18:00:00,439.1
DC21410602,2022-01-24 19:00:00,436.01
DC21410602,2022-01-24 20:00:00,433.19
DC21410602,2022-01-24 21:00:00,432.35
DC21410602,2022-01-24 22:00:00,432.64
DC21410602,2022-01-24 23:00:00,432.02
DC21410602,2022-01-25 00:00:00,430.61
DC21410602,2022-01-25 01:00:00,427.68
DC21410602,2022-01-25 02:00:00,427.52
DC21410602,2022-01-25 03:00:00,427.54
DC21410602,2022-01-25 04:00:00,427.55
DC21410602,2022-01-25 05:00:00,433.96
DC21410602,2022-01-25 06:00:00,436.57
DC21410602,2022-01-25 07:00:00,444.25
DC21410602,2022-01-25 08:00:00,462.58
DC21410602,2022-01-25 09:00:00,483.39
DC21410602,2022-01-25 10:00:00,489.14
DC21410602,2022-01-25 11:00:00,490.52
DC21410602,2022-01-25 12:00:00,486.85
DC21410602,2022-01-25 13:00:00,478.84
DC21410602,2022-01-25 14:00:00,473.83
DC21410602,2022-01-25 15:00:00,470.67
DC21410602,2022-01-25 16:00:00,462.99
DC21410602,2022-01-25 17:00:00,452.74
DC21410602,2022-01-25 18:00:00,443.91
DC21410602,2022-01-25 19:00:00,437.75
DC21410602,2022-01-25 20:00:00,435.76
DC21410602,2022-01-25 21:00:00,432.55
DC21410602,2022-01-25 22:00:00,429.39
DC21410602,2022-01-25 23:00:00,425.87
DC21410602,2022-01-26 00:00:00,422.26
DC21410602,2022-01-26 01:00:00,420.04
