Sensor,Time Point,value
DC21410602,2022-01-18 07:00:00,19.31
DC21410602,2022-01-18 08:00:00,18.93
DC21410602,2022-01-18 09:00:00,18.83
DC21410602,2022-01-18 10:00:00,18.77
DC21410602,2022-01-18 11:00:00,18.61
DC21410602,2022-01-18 12:00:00,18.49
DC21410602,2022-01-18 13:00:00,18.27
DC21410602,2022-01-18 14:00:00,18.1
DC21410602,2022-01-18 15:00:00,17.82
DC21410602,2022-01-18 16:00:00,17.68
DC21410602,2022-01-18 17:00:00,17.49
DC21410602,2022-01-18 18:00:00,17.38
DC21410602,2022-01-18 19:00:00,17.37
DC21410602,2022-01-18 20:00:00,17.57
DC21410602,2022-01-18 21:00:00,17.73
DC21410602,2022-01-18 22:00:00,17.91
DC21410602,2022-01-18 23:00:00,18.1
DC21410602,2022-01-19 00:00:00,18.22
DC21410602,2022-01-19 01:00:00,18.26
DC21410602,2022-01-19 02:00:00,18.32
DC21410602,2022-01-19 03:00:00,18.35
DC21410602,2022-01-19 04:00:00,18.39
DC21410602,2022-01-19 05:00:00,18.4
DC21410602,2022-01-19 06:00:00,18.08
DC21410602,2022-01-19 07:00:00,18.1
DC21410602,2022-01-19 08:00:00,18.15
DC21410602,2022-01-19 09:00:00,18.18
DC21410602,2022-01-19 10:00:00,18.27
DC21410602,2022-01-19 11:00:00,18.41
DC21410602,2022-01-19 12:00:00,18.57
DC21410602,2022-01-19 13:00:00,18.75
DC21410602,2022-01-19 14:00:00,18.93
DC21410602,2022-01-19 15:00:00,19.1
DC21410602,2022-01-19 16:00:00,19.22
DC21410602,2022-01-19 17:00:00,19.46
DC21410602,2022-01-19 18:00:00,19.73
DC21410602,2022-01-19 19:00:00,20.0
DC21410602,2022-01-19 20:00:00,20.0
DC21410602,2022-01-19 21:00:00,20.15
DC21410602,2022-01-19 22:00:00,20.36
DC21410602,2022-01-19 23:00:00,20.59
DC21410602,2022-01-20 00:00:00,21.11
DC21410602,2022-01-20 01:00:00,21.88
DC21410602,2022-01-20 02:00:00,22.64
DC21410602,2022-01-20 03:00:00,23.21
DC21410602,2022-01-20 04:00:00,23.63
DC21410602,2022-01-20 05:00:00,24.26
DC21410602,2022-01-20 06:00:00,27.24
DC21410602,2022-01-20 07:00:00,27.88
DC21410602,2022-01-20 08:00:00,28.15
DC21410602,2022-01-20 09:00:00,28.2
DC21410602,2022-01-20 10:00:00,27.86
DC21410602,2022-01-20 11:00:00,27.22
DC21410602,2022-01-20 12:00:00,26.44
DC21410602,2022-01-20 13:00:00,25.34
DC21410602,2022-01-20 14:00:00,24.02
DC21410602,2022-01-20 15:00:00,22.85
DC21410602,2022-01-20 16:00:00,21.79
DC21410602,2022-01-20 17:00:00,20.82
DC21410602,2022-01-20 18:00:00,20.08
DC21410602,2022-01-20 19:00:00,19.47
DC21410602,2022-01-20 20:00:00,19.44
DC21410602,2022-01-20 21:00:00,19.18
DC21410602,2022-01-20 22:00:00,18.15
DC21410602,2022-01-20 23:00:00,18.36
DC21410602,2022-01-21 00:00:00,18.03
DC21410602,2022-01-21 01:00:00,17.26
DC21410602,2022-01-21 02:00:00,16.6
DC21410602,2022-01-21 03:00:00,16.0
DC21410602,2022-01-21 04:00:00,15.53
DC21410602,2022-01-21 05:00:00,14.96
DC21410602,2022-01-21 06:00:00,14.21
DC21410602,2022-01-21 07:00:00,13.68
DC21410602,2022-01-21 08:00:00,13.62
DC21410602,2022-01-21 09:00:00,13.32
DC21410602,2022-01-21 10:00:00,13.03
DC21410602,2022-01-21 11:00:00,12.94
DC21410602,2022-01-21 12:00:00,12.93
DC21410602,2022-01-21 13:00:00,12.79
DC21410602,2022-01-21 14:00:00,12.71
DC21410602,2022-01-21 15:00:00,12.65
DC21410602,2022-01-21 16:00:00,12.59
DC21410602,2022-01-21 17:00:00,12.56
DC21410602,2022-01-21 18:00:00,12.5
DC21410602,2022-01-21 19:00:00,12.43
DC21410602,2022-01-21 20:00:00,12.46
DC21410602,2022-01-21 21:00:00,12.55
DC21410602,2022-01-21 22:00:00,12.64
DC21410602,2022-01-21 23:00:00,12.62
DC21410602,2022-01-22 00:00:00,12.53
DC21410602,2022-01-22 01:00:00,12.48
DC21410602,2022-01-22 02:00:00,12.47
DC21410602,2022-01-22 03:00:00,12.42
DC21410602,2022-01-22 04:00:00,12.3
DC21410602,2022-01-22 05:00:00,12.19
DC21410602,2022-01-22 06:00:00,12.1
DC21410602,2022-01-22 07:00:00,12.08
DC21410602,2022-01-22 08:00:00,12.28
DC21410602,2022-01-22 09:00:00,12.44
DC21410602,2022-01-22 10:00:00,12.49
DC21410602,2022-01-22 11:00:00,12.6
DC21410602,2022-01-22 12:00:00,12.71
DC21410602,2022-01-22 13:00:00,12.6
DC21410602,2022-01-22 14:00:00,12.21
DC21410602,2022-01-22 15:00:00,12.05
DC21410602,2022-01-22 16:00:00,11.97
DC21410602,2022-01-22 17:00:00,11.9
DC21410602,2022-01-22 18:00:00,11.84
DC21410602,2022-01-22 19:00:00,11.85
DC21410602,2022-01-22 20:00:00,11.9
DC21410602,2022-01-22 21:00:00,11.86
DC21410602,2022-01-22 22:00:00,11.94
DC21410602,2022-01-22 23:00:00,12.17
DC21410602,2022-01-23 00:00:00,12.25
DC21410602,2022-01-23 01:00:00,12.31
DC21410602,2022-01-23 02:00:00,12.45
DC21410602,2022-01-23 03:00:00,12.57
DC21410602,2022-01-23 04:00:00,12.6
DC21410602,2022-01-23 05:00:00,12.68
DC21410602,2022-01-23 06:00:00,12.71
DC21410602,2022-01-23 07:00:00,12.73
DC21410602,2022-01-23 08:00:00,12.84
DC21410602,2022-01-23 09:00:00,13.13
DC21410602,2022-01-23 10:00:00,13.36
DC21410602,2022-01-23 11:00:00,13.58
DC21410602,2022-01-23 12:00:00,13.75
DC21410602,2022-01-23 13:00:00,13.71
DC21410602,2022-01-23 14:00:00,13.77
DC21410602,2022-01-23 15:00:00,13.84
DC21410602,2022-01-23 16:00:00,13.95
DC21410602,2022-01-23 17:00:00,14.1
DC21410602,2022-01-23 18:00:00,14.28
DC21410602,2022-01-23 19:00:00,14.51
DC21410602,2022-01-23 20:00:00,14.81
DC21410602,2022-01-23 21:00:00,15.07
DC21410602,2022-01-23 22:00:00,15.26
DC21410602,2022-01-23 23:00:00,15.45
DC21410602,2022-01-24 00:00:00,15.64
DC21410602,2022-01-24 01:00:00,15.84
